title,video_id,video_description,published_date,extraction_date,likes,views,thumbnail
DEMOCRATA-MG X ITABUNA | AO VIVO COM IMAGEM | BRASILEIRÃO - SÉRIE D,6Pz9UIjq0Qk,"Inscreva-se no canal da TV Vitória e ative o sininho para não perder nenhum conteúdo.
--
Cadastre-se na Betsat - Ganhe 50% de cashback na Vitória do Leão:
https://bit.ly/cadastrobetsat

Adquira a nova camisa do Vitória com a Volt:
www.lojasounego.com.br

DEMOCRATA-MG X ITABUNA | AO VIVO COM IMAGEM | BRASILEIRÃO - SÉRIE D",2024-06-10T00:39:24Z,2024-06-18 18:18:34.156639,2965,36642,"{'default': {'url': 'https://i.ytimg.com/vi/6Pz9UIjq0Qk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/6Pz9UIjq0Qk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/6Pz9UIjq0Qk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/6Pz9UIjq0Qk/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/6Pz9UIjq0Qk/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
CHEGADA DO VITÓRIA EM CAXIAS!,FNNTiQAer9w,,2024-06-09T18:05:19Z,2024-06-18 18:18:34.156639,365,2324,"{'default': {'url': 'https://i.ytimg.com/vi/FNNTiQAer9w/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/FNNTiQAer9w/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/FNNTiQAer9w/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/FNNTiQAer9w/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/FNNTiQAer9w/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
ESTRELA DE MARÇO X VITÓRIA | AO VIVO COM IMAGEM | CAMPEONATO BAIANO #SUB20,Gtu_Bn9tRyU,"Inscreva-se no canal da TV Vitória e ative o sininho para não perder nenhum conteúdo.
--
Cadastre-se na Betsat - Ganhe 50% de cashback na Vitória do Leão:
https://bit.ly/cadastrobetsat

Adquira a nova camisa do Vitória com a Volt:
www.lojasounego.com.br

ESTRELA DE MARÇO X VITÓRIA | AO VIVO COM IMAGEM | CAMPEONATO BAIANO #SUB20",2024-06-09T15:14:06Z,2024-06-18 18:18:34.156639,1158,15886,"{'default': {'url': 'https://i.ytimg.com/vi/Gtu_Bn9tRyU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Gtu_Bn9tRyU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Gtu_Bn9tRyU/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Gtu_Bn9tRyU/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/Gtu_Bn9tRyU/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
TREINO DO LEÃO EM SÃO PAULO | 08.06.2024,mENJPMmEAHI,,2024-06-09T03:31:25Z,2024-06-18 18:18:34.156639,276,1518,"{'default': {'url': 'https://i.ytimg.com/vi/mENJPMmEAHI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/mENJPMmEAHI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/mENJPMmEAHI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/mENJPMmEAHI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/mENJPMmEAHI/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
RESENHA COLOSSAL | Luiz San Martin | #18,kllPP_cVkZk,"Inscreva-se no canal da TV Vitória e ative o sininho para não perder nenhum conteúdo.
--
Cadastre-se na Betsat - Ganhe 50% de cashback na Vitória do Leão:
https://bit.ly/cadastrobetsat

Adquira a nova camisa do Vitória com a Volt:
www.lojasounego.com.br",2024-06-08T13:57:05Z,2024-06-18 18:18:34.156639,243,1326,"{'default': {'url': 'https://i.ytimg.com/vi/kllPP_cVkZk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/kllPP_cVkZk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/kllPP_cVkZk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/kllPP_cVkZk/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/kllPP_cVkZk/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
ACOMPANHE A VIAGEM DO ESPORTE CLUBE VITÓRIA,XTHotQpWtLE,,2024-06-08T02:45:40Z,2024-06-18 18:18:34.156639,217,1711,"{'default': {'url': 'https://i.ytimg.com/vi/XTHotQpWtLE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/XTHotQpWtLE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/XTHotQpWtLE/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/XTHotQpWtLE/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/XTHotQpWtLE/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
COLETIVA | OSVALDO | 07.06.2024,yupQWoZlu-E,"Inscreva-se no canal da TV Vitória e ative o sininho para não perder nenhum conteúdo.
--
Cadastre-se na Betsat - Ganhe 50% de cashback na Vitória do Leão:
https://bit.ly/cadastrobetsat

Adquira a nova camisa do Vitória com a Volt:
www.lojasounego.com.br",2024-06-07T14:17:19Z,2024-06-18 18:18:34.156639,667,10311,"{'default': {'url': 'https://i.ytimg.com/vi/yupQWoZlu-E/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/yupQWoZlu-E/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/yupQWoZlu-E/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/yupQWoZlu-E/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/yupQWoZlu-E/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
GOLS -  VITÓRIA 3 X 0 ESTRELA DE MARÇO | BAIANÃO SUB-20,R1Hn8sfUg9o,"Inscreva-se no canal da TV Vitória e ative o sininho para não perder nenhum conteúdo.
--
Cadastre-se na Betsat - Ganhe 50% de cashback na Vitória do Leão:
https://bit.ly/cadastrobetsat

Adquira a nova camisa do Vitória com a Volt:
www.lojasounego.com.br

GOLS -  VITÓRIA 3 X 0 ESTRELA DE MARÇO | BAIANÃO SUB-20",2024-06-06T20:28:06Z,2024-06-18 18:18:34.156639,176,2342,"{'default': {'url': 'https://i.ytimg.com/vi/R1Hn8sfUg9o/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/R1Hn8sfUg9o/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/R1Hn8sfUg9o/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/R1Hn8sfUg9o/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/R1Hn8sfUg9o/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
VITÓRIA X ESTRELA DE MARÇO | AO VIVO COM IMAGEM | CAMPEONATO BAIANO #SUB20,NJRwobNBEyY,"Inscreva-se no canal da TV Vitória e ative o sininho para não perder nenhum conteúdo.
--
Cadastre-se na Betsat - Ganhe 50% de cashback na Vitória do Leão:
https://bit.ly/cadastrobetsat

Adquira a nova camisa do Vitória com a Volt:
www.lojasounego.com.br",2024-06-06T20:13:39Z,2024-06-18 18:18:34.156639,748,12533,"{'default': {'url': 'https://i.ytimg.com/vi/NJRwobNBEyY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/NJRwobNBEyY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/NJRwobNBEyY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/NJRwobNBEyY/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/NJRwobNBEyY/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
Coletiva | Thiago Carpini | 05.06.2024,8nF8qRhQnOc,"Inscreva-se no canal da TV Vitória e ative o sininho para não perder nenhum conteúdo.
--
Cadastre-se na Betsat - Ganhe 50% de cashback na Vitória do Leão:
https://bit.ly/cadastrobetsat

Adquira a nova camisa do Vitória com a Volt:
www.lojasounego.com.br",2024-06-06T03:22:51Z,2024-06-18 18:18:34.156639,459,8930,"{'default': {'url': 'https://i.ytimg.com/vi/8nF8qRhQnOc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/8nF8qRhQnOc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/8nF8qRhQnOc/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/8nF8qRhQnOc/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/8nF8qRhQnOc/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
