team_name,video_id,published_date,likes,views,comment
Atlético-MG,LytWGssLFhc,2024-05-04T14:05:21Z,7092,62075,307
Atlético-MG,K3jRjogpD2s,2024-05-04T14:05:35Z,5832,55059,186
Atlético-MG,tu167WaQBRI,2024-04-24T22:47:10Z,5276,55857,192
Atlético-MG,vDG2MRSF07o,2024-04-24T22:46:41Z,10763,107054,324
Atlético-MG,5Tzwviop6cQ,2024-04-13T13:58:40Z,4850,50268,151
Atlético-MG,maSI9NpFZd4,2024-04-09T03:24:13Z,16692,157112,883
Atlético-MG,oQbU8BbxuFc,2024-04-08T18:06:27Z,4074,45909,127
Atlético-MG,FbX9unHm3II,2024-03-11T21:36:37Z,3494,56324,82
Atlético-MG,pS7VbCTYD38,2024-03-11T21:38:00Z,3059,43476,105
Atlético-MG,0eqSUmHGBMU,2024-02-19T14:39:26Z,1731,26745,96
Atlético-MG,rul4w8WxZz8,2024-02-16T12:56:52Z,2155,25064,92
Atlético-MG,L3PMwzwfhcM,2024-02-05T17:49:27Z,4026,52251,136
Internacional,SG5VYxXkQlk,2024-06-11T01:22:16Z,238,1679,18
Internacional,h2jdHSKtEXw,2024-06-10T00:26:26Z,2743,24974,155
Internacional,71LFdDohc44,2024-06-02T23:23:42Z,2159,24379,87
Internacional,nP9buaj49Fc,2024-04-26T23:53:34Z,3361,31024,113
Internacional,rYu0yn9fpMo,2024-04-19T00:51:13Z,5486,54218,175
Internacional,Vi5mM91uMWA,2024-04-15T00:25:38Z,5543,56093,302
Internacional,2Zsj710czOs,2024-03-18T21:57:33Z,605,5622,39
Internacional,aiKLWWy0W68,2024-03-11T21:37:40Z,414,4680,18
Internacional,9HdVbtvRrzY,2024-03-11T00:32:02Z,5880,58122,192
Internacional,ukG_NzvmW4M,2024-03-04T00:17:30Z,3820,37248,105
Internacional,g2tkzbeaFdQ,2024-03-01T00:15:23Z,3417,36791,103
Internacional,4D06E2rFlwk,2024-02-27T02:11:05Z,16251,173886,629
Internacional,qwd8aI2KInM,2024-02-20T00:27:05Z,2587,28028,78
Internacional,X7yQzPq-Ksk,2024-02-15T23:49:13Z,2755,31296,56
Internacional,LS72fPKnbrM,2024-02-12T22:34:52Z,1792,17775,54
Internacional,1w_ME1Sid6E,2024-02-08T23:25:44Z,2103,20571,47
Internacional,5V-wwJFbY3c,2024-02-04T22:50:45Z,3405,37400,155
Internacional,h0Sx4LTL9Cs,2024-01-29T00:26:45Z,3989,44470,138
Internacional,7wrv0sPMd5A,2024-01-22T22:33:40Z,1753,17033,69
Palmeiras,sbJV0Z8703I,2024-04-23T03:49:25Z,1522,12962,93
Palmeiras,Q-NnEkHEPiU,2024-06-15T02:35:57Z,2769,29557,99
Palmeiras,wDWwzkqhIfs,2024-05-25T17:06:31Z,1191,11303,114
Palmeiras,SBT0qc8e_kw,2024-04-12T18:34:13Z,3993,47366,85
Palmeiras,462FPZ9-Y70,2024-04-26T02:18:09Z,14862,213336,400
Palmeiras,60GWTEhrp4E,2024-05-13T17:59:59Z,5610,79187,143
Palmeiras,QpI3mTDpu8k,2024-05-17T11:34:38Z,3323,44340,96
